index,tiras,negatividade,neutralidade,positividade,sentimento_dominante,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,p_toxicity,Creator Name,Game Environment,Video Name,toxicidade,class_detoxify,class_perspective,classificacao_ia,texto_exibicao,Anotador_1,Anotador_2
9,"Verde, vermelho. Isso, não tem tempo. Verde. Ai, não tem tempo. Espera a vermelha. Ai, não, a vermelha não. Ai, para um pouco antes da vermelha aparecer. Vamos, vamos, vamos. Eu estou parando sempre antes. Eu tenho muito medo. Olha como você já está longe. O bom é que é sempre o mesmo tempo. Tá, você vai chegar primeiro do que ele, então me espera. Aí, chegando. Ai, eu estou com medo de ser pega no finalzinho, porque até não tem palavras. Cheguei, eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Ele deu muita dança. És para nós. Eu vou embora. Eu vou embora. A Cindy vai embora. Eu vou embora. Eu vou embora. A Cindy vai embora. Ei, não estamos com medo de passar. Acorda o íg emails. Eu vou embora. Eu vou embora. Eu vou embora. A Cindy vai embora. Eu vou embora. A Cindy vai embora. Amigo, arrowוף. Continuando. É que esse é o caminho da saída, né?",0.3015396893024444,0.586662232875824,0.1117981299757957,NEU,0.0236427001655101,0.0016064047813415,0.020542548969388,0.0023943718988448,0.0154614392668008,0.0013815257698297,0.0015882032457739,0.14082454,Papile,Roblox,PAPILE E ATHOS ESCAPAM DO MR. FUNNY no ROBLOX Escape Mr. Funnys Toyshop [DfCz0svFqt8],0.3015396893024444,NT,NT,NT,"🎬 Canal: Papile | 🎥 Vídeo: PAPILE E ATHOS ESCAPAM DO MR. FUNNY no ROBLOX Escape Mr. Funnys Toyshop [DfCz0svFqt8]
⏱️ Segmento/Index: 9
🤖 Consenso de IA: NT (Detoxify: 0.024 | Perspective: 0.141)
──────────────────────────────────────────────────
Fala transcrita:
""Verde, vermelho. Isso, não tem tempo. Verde. Ai, não tem tempo. Espera a vermelha. Ai, não, a vermelha não. Ai, para um pouco antes da vermelha aparecer. Vamos, vamos, vamos. Eu estou parando sempre antes. Eu tenho muito medo. Olha como você já está longe. O bom é que é sempre o mesmo tempo. Tá, você vai chegar primeiro do que ele, então me espera. Aí, chegando. Ai, eu estou com medo de ser pega no finalzinho, porque até não tem palavras. Cheguei, eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Eu vou embora. Ele deu muita dança. És para nós. Eu vou embora. Eu vou embora. A Cindy vai embora. Eu vou embora. Eu vou embora. A Cindy vai embora. Ei, não estamos com medo de passar. Acorda o íg emails. Eu vou embora. Eu vou embora. Eu vou embora. A Cindy vai embora. Eu vou embora. A Cindy vai embora. Amigo, arrowוף. Continuando. É que esse é o caminho da saída, né?""",Avaliador_A,Avaliador_C
2,"Olha, coisa boa eu não sei, mas eu sei que dá pra gente, ó, desfetar aqui e colocar É péssimo, Eduardo, porque aqui a gente vai querer uma porta amadura É, então, a gente pode enfeitar a nossa ilha, vai ficar bonito Eu vou pegar areia azul porque eu não tô fazendo nada, então eu vou pegar areia azul, Eduardo Ah, pra que você vai pegar areia azul? Areia azul não serve pra nada? Ela cai se você botar aqui, ó Boa pergunta, eu não sei por que eu tô pegando areia azul Eduardo, alô, Eduardo 8 picareta de ouro Ai, meu Deus, já mudou 8 picareta de ouro Gente, Eduardo nem viu que mudou o negócio aqui Vamos ver o que tem aqui no baú, opa Ah, que legal Ó, Eduardo, ó, faz o seguinte Eu ouvi falar que o barco voa aqui nesse modo O barco voa Sério? Sério? Pode testar aí Voa mesmo? Vou... tô falando pra tu, cara, pode ir Ó, vai lá, vai naquela ilha Ah, não Você me aguarda Você me aguarda Eu pe... NÃO! Eu tô com muito item, cara Morri Ai, gente, não perde os itens Menos mal, né? Ó! Deixa... Ah! Nederita!",0.4478034973144531,0.4049969911575317,0.1471995413303375,NEG,0.4132876992225647,0.0081260651350021,0.0619429089128971,0.0045637283474206,0.048868715763092,0.0081066293641924,0.0123142395168542,0.3127066,Marcelodrv,Minecraft,MINECRAFT SKYBLOCK mas a cada minuto A ILHA TROCA DE BLOCOS [DM8ESCV-CKM],,GZ,GZ,GZ,"🎬 Canal: Marcelodrv | 🎥 Vídeo: MINECRAFT SKYBLOCK mas a cada minuto A ILHA TROCA DE BLOCOS [DM8ESCV-CKM]
⏱️ Segmento/Index: 2
🤖 Consenso de IA: GZ (Detoxify: 0.413 | Perspective: 0.313)
──────────────────────────────────────────────────
Fala transcrita:
""Olha, coisa boa eu não sei, mas eu sei que dá pra gente, ó, desfetar aqui e colocar É péssimo, Eduardo, porque aqui a gente vai querer uma porta amadura É, então, a gente pode enfeitar a nossa ilha, vai ficar bonito Eu vou pegar areia azul porque eu não tô fazendo nada, então eu vou pegar areia azul, Eduardo Ah, pra que você vai pegar areia azul? Areia azul não serve pra nada? Ela cai se você botar aqui, ó Boa pergunta, eu não sei por que eu tô pegando areia azul Eduardo, alô, Eduardo 8 picareta de ouro Ai, meu Deus, já mudou 8 picareta de ouro Gente, Eduardo nem viu que mudou o negócio aqui Vamos ver o que tem aqui no baú, opa Ah, que legal Ó, Eduardo, ó, faz o seguinte Eu ouvi falar que o barco voa aqui nesse modo O barco voa Sério? Sério? Pode testar aí Voa mesmo? Vou... tô falando pra tu, cara, pode ir Ó, vai lá, vai naquela ilha Ah, não Você me aguarda Você me aguarda Eu pe... NÃO! Eu tô com muito item, cara Morri Ai, gente, não perde os itens Menos mal, né? Ó! Deixa... Ah! Nederita!""",Avaliador_A,Avaliador_C
29,"Eu tava aqui feliz e contente E do nada apareceu um portal do End, bem aqui Nossa, que estranho, do nada Do nada, não sei quem foi que fez isso Eu acho que o nome da pessoa que fez isso começa com C Nossa, deve ser alguma pessoa que não tá aqui então Porque o meu nome não começa com C Então, aí eu fui obrigado a ter o meu labirinto no End E ele tá aqui, tá aqui o meu labirinto Você fez no End o teu labirinto, cadê ele? Me deram, transportaram pra cá Dá um TP aqui em mim Ah não, você pegou e fez o seu labirinto aqui Era impossível, deu a chatos Bem feito, foi trapaceia e perdeu, bobão Ah não Ah não",0.4572091400623321,0.4337714910507202,0.109019361436367,NEG,0.4329057037830353,0.0095053752884268,0.0509361624717712,0.0083661051467061,0.0477998442947864,0.0032180547714233,0.0046430514194071,0.23415339,Cadres,Minecraft,LABIRINTO de R1 vs LABIRINTO de R1.000.00000 no minecraft [XuqTHVV0_vA],,GZ,GZ,GZ,"🎬 Canal: Cadres | 🎥 Vídeo: LABIRINTO de R1 vs LABIRINTO de R1.000.00000 no minecraft [XuqTHVV0_vA]
⏱️ Segmento/Index: 29
🤖 Consenso de IA: GZ (Detoxify: 0.433 | Perspective: 0.234)
──────────────────────────────────────────────────
Fala transcrita:
""Eu tava aqui feliz e contente E do nada apareceu um portal do End, bem aqui Nossa, que estranho, do nada Do nada, não sei quem foi que fez isso Eu acho que o nome da pessoa que fez isso começa com C Nossa, deve ser alguma pessoa que não tá aqui então Porque o meu nome não começa com C Então, aí eu fui obrigado a ter o meu labirinto no End E ele tá aqui, tá aqui o meu labirinto Você fez no End o teu labirinto, cadê ele? Me deram, transportaram pra cá Dá um TP aqui em mim Ah não, você pegou e fez o seu labirinto aqui Era impossível, deu a chatos Bem feito, foi trapaceia e perdeu, bobão Ah não Ah não""",Avaliador_A,Avaliador_C
87,"Tem esse vídeo aqui de esconde-esconde, de condesface! Se tiverem gostado, já saibam! Like no vídeo! Muito obrigado! A todo mundo que assistiu até agora! Tamo junto família! Fiquem com Deus! E se você assistiu até agora, comente Eu Sou Um Maninho do TT! Demorou? Ou se você for uma maninha, comente Eu Sou Uma Maninha do TT! Tamo junto família! Um grande abraço e tchau!",0.0291604418307542,0.45747971534729,0.5133598446846008,POS,0.0454283282160759,0.0004795419517904,0.0182551573961973,0.001392824226059,0.0189135149121284,0.000358018791303,0.0014594612875953,0.053295042,AuthenticGames,Minecraft,ESCONDE-ESCONDE com BLOCOS VERDES no MINECRAFT - FILME [SluB8RgifAc],,NT,NT,NT,"🎬 Canal: AuthenticGames | 🎥 Vídeo: ESCONDE-ESCONDE com BLOCOS VERDES no MINECRAFT - FILME [SluB8RgifAc]
⏱️ Segmento/Index: 87
🤖 Consenso de IA: NT (Detoxify: 0.045 | Perspective: 0.053)
──────────────────────────────────────────────────
Fala transcrita:
""Tem esse vídeo aqui de esconde-esconde, de condesface! Se tiverem gostado, já saibam! Like no vídeo! Muito obrigado! A todo mundo que assistiu até agora! Tamo junto família! Fiquem com Deus! E se você assistiu até agora, comente Eu Sou Um Maninho do TT! Demorou? Ou se você for uma maninha, comente Eu Sou Uma Maninha do TT! Tamo junto família! Um grande abraço e tchau!""",Avaliador_A,Avaliador_C
9,"Eu vou seguir a Bia aqui porque eu acho que ela sabe o que faz. Porque eu sou meio noob, vocês sabem. Eu sou a pessoa que não joga Pig direito. Que não sabe aonde ficam as coisas no mapa. E aqui tá fechadinho. A gente tinha que achar a chave verde. Será que a chave verde tá ali, ó? Neste lugar? Vamos ver. Se tá por aqui. Não, nunca tá. NUNCA TÁ POR AQUI! Ela tá aqui, ó. A senhora bot. Não, eu fui boba, gente. Eu fui boba. Eu tenho que me esconder melhor. Eu tenho que me esconder melhor. Eu não sei o que fazer agora. Eu estou presa. EU SOU PRESA! Não, não tô. Não é tarde demais para mim! Ai, eu fugi. Ai, dá bem, aí dá bem, aí dá bem. Passaram por aqui já. Eu tenho que ficar bem escondida. Isso sim. Porque ela é muito esperta. Vocês viram? Quase que foi o meu fim na minha própria partida. Que eu estou comandando. Isso é muito errado.",0.4872530400753021,0.4717472493648529,0.0409997254610061,NEG,0.2564860880374908,0.0010525585385039,0.0314454436302185,0.0027828828897327,0.0847591683268547,0.0008438362856395,0.0017356127500534,0.37751234,Papile,Roblox,ATUALIZAÇÃO NA PIGGY USE COMANDOS DE HACKER E CONTROLE O JOGO Roblox [LPhuj5dn8AM],,GZ,GZ,GZ,"🎬 Canal: Papile | 🎥 Vídeo: ATUALIZAÇÃO NA PIGGY USE COMANDOS DE HACKER E CONTROLE O JOGO Roblox [LPhuj5dn8AM]
⏱️ Segmento/Index: 9
🤖 Consenso de IA: GZ (Detoxify: 0.256 | Perspective: 0.378)
──────────────────────────────────────────────────
Fala transcrita:
""Eu vou seguir a Bia aqui porque eu acho que ela sabe o que faz. Porque eu sou meio noob, vocês sabem. Eu sou a pessoa que não joga Pig direito. Que não sabe aonde ficam as coisas no mapa. E aqui tá fechadinho. A gente tinha que achar a chave verde. Será que a chave verde tá ali, ó? Neste lugar? Vamos ver. Se tá por aqui. Não, nunca tá. NUNCA TÁ POR AQUI! Ela tá aqui, ó. A senhora bot. Não, eu fui boba, gente. Eu fui boba. Eu tenho que me esconder melhor. Eu tenho que me esconder melhor. Eu não sei o que fazer agora. Eu estou presa. EU SOU PRESA! Não, não tô. Não é tarde demais para mim! Ai, eu fugi. Ai, dá bem, aí dá bem, aí dá bem. Passaram por aqui já. Eu tenho que ficar bem escondida. Isso sim. Porque ela é muito esperta. Vocês viram? Quase que foi o meu fim na minha própria partida. Que eu estou comandando. Isso é muito errado.""",Avaliador_A,Avaliador_C
8,"Eu sou o loquinho e tô subindo vermelhinho! Ui! Uh! A badia... A badia, para de encostar a mão no vermelho, para! Eu também quero vermelho! Oh, gente, vocês estão indo na minha cor e estão pegando duas coisas ao mesmo tempo! A badia, agora você vai querer o vermelho, vermelho, vermelho? Sim! Tá bom! Agora então, vou indo verde. Agora eu vou subir no verdinho e eu quero ver o que que tem lá em cima! Lá em cima eu quero ver o que que tem lá! Vamos lá! Eu quero ver! Sabe, sabe, sabe, sabe, sabe, sabe! Tá no alto! Para de ficar no meu! Vou pro outro lado, vou nesse amarelinho aqui! Ui! Ai! O que? Oh, gente, eu não tô gostando do que vocês estão fazendo, sabe o que que eu vou fazer? Ok! Eu vou fazer uma... Eu vou fazer uma nanobra e eu vou ir para trás para vocês não conseguirem me pegar!",0.1368842869997024,0.7988884449005127,0.0642272979021072,NEU,0.2198468893766403,0.0020366846583783,0.0334223993122577,0.0029696146957576,0.029357511550188,0.0201175566762685,0.0053196810185909,0.33587718,Lokis,Roblox,GIGANTE CABEÇA ROXA PEGOU O LOKIS  Roblox - Escape The Cruise Ship Obby [2lM5vgNhqE8],,GZ,GZ,GZ,"🎬 Canal: Lokis | 🎥 Vídeo: GIGANTE CABEÇA ROXA PEGOU O LOKIS  Roblox - Escape The Cruise Ship Obby [2lM5vgNhqE8]
⏱️ Segmento/Index: 8
🤖 Consenso de IA: GZ (Detoxify: 0.22 | Perspective: 0.336)
──────────────────────────────────────────────────
Fala transcrita:
""Eu sou o loquinho e tô subindo vermelhinho! Ui! Uh! A badia... A badia, para de encostar a mão no vermelho, para! Eu também quero vermelho! Oh, gente, vocês estão indo na minha cor e estão pegando duas coisas ao mesmo tempo! A badia, agora você vai querer o vermelho, vermelho, vermelho? Sim! Tá bom! Agora então, vou indo verde. Agora eu vou subir no verdinho e eu quero ver o que que tem lá em cima! Lá em cima eu quero ver o que que tem lá! Vamos lá! Eu quero ver! Sabe, sabe, sabe, sabe, sabe, sabe! Tá no alto! Para de ficar no meu! Vou pro outro lado, vou nesse amarelinho aqui! Ui! Ai! O que? Oh, gente, eu não tô gostando do que vocês estão fazendo, sabe o que que eu vou fazer? Ok! Eu vou fazer uma... Eu vou fazer uma nanobra e eu vou ir para trás para vocês não conseguirem me pegar!""",Avaliador_A,Avaliador_C
19,"Então sobe aqui, porque a espada é muito boa! Só que ela tem que acertar, a espada é meio ruim de mira! Riquitos, ela não acerta o zumbi bebê! Ah, agora ela acertou! Essa espada é muito boa, eu adorei ela! Aí ela matou todos eles! Eu não fiz nada! Vem espada, vem, eu vou mostrar você pro Riquitos! Olha essa espadinha, Riquitos, ela é muito boa! Ai, que gracinha ela! Cadê a picareta? Ah, eu já trouxe ela aqui! Ah, aqui? É, pera aí, antes que ela vai embora já, vamos prender ela aqui já! Deixa ela presa, a espada não pode deixar presa que ela vai nos defender! Você pegou obsidian lá embaixo? Eu peguei, eu tenho 14 obsidian! Então vamos agora pro Nether! É, isso mesmo, ir pro Nether é pra pegar fogo de artifício! E também no Nether a gente pode pegar netherite! É verdade! Imagina fazer uma barra de netherite! Vamos lá! Entra aí, Riquitos! Oh, oh, Riquitos! Eu esqueci de um detalhe importante! Ah, fala! Eu não tava usando as maçãs douradas! Ah, tá de sacanagem, por isso que é uma moeda fácil! Por isso que é uma moeda fácil! Eu deixei elas no inventário e não usei! Ih, pera aí, baldes de água? Não, mas como que a água chegou no Nether?",0.0235720556229352,0.0562325716018676,0.9201952815055848,POS,0.2596714198589325,0.0015289321308955,0.022285358980298,0.0010163302067667,0.0176134463399648,0.0566633976995945,0.0024499960709363,0.3666224,Athos,Minecraft,Dei VIDA para um BALDE no Minecraft [S7FQEpXWOXY],,GZ,GZ,GZ,"🎬 Canal: Athos | 🎥 Vídeo: Dei VIDA para um BALDE no Minecraft [S7FQEpXWOXY]
⏱️ Segmento/Index: 19
🤖 Consenso de IA: GZ (Detoxify: 0.26 | Perspective: 0.367)
──────────────────────────────────────────────────
Fala transcrita:
""Então sobe aqui, porque a espada é muito boa! Só que ela tem que acertar, a espada é meio ruim de mira! Riquitos, ela não acerta o zumbi bebê! Ah, agora ela acertou! Essa espada é muito boa, eu adorei ela! Aí ela matou todos eles! Eu não fiz nada! Vem espada, vem, eu vou mostrar você pro Riquitos! Olha essa espadinha, Riquitos, ela é muito boa! Ai, que gracinha ela! Cadê a picareta? Ah, eu já trouxe ela aqui! Ah, aqui? É, pera aí, antes que ela vai embora já, vamos prender ela aqui já! Deixa ela presa, a espada não pode deixar presa que ela vai nos defender! Você pegou obsidian lá embaixo? Eu peguei, eu tenho 14 obsidian! Então vamos agora pro Nether! É, isso mesmo, ir pro Nether é pra pegar fogo de artifício! E também no Nether a gente pode pegar netherite! É verdade! Imagina fazer uma barra de netherite! Vamos lá! Entra aí, Riquitos! Oh, oh, Riquitos! Eu esqueci de um detalhe importante! Ah, fala! Eu não tava usando as maçãs douradas! Ah, tá de sacanagem, por isso que é uma moeda fácil! Por isso que é uma moeda fácil! Eu deixei elas no inventário e não usei! Ih, pera aí, baldes de água? Não, mas como que a água chegou no Nether?""",Avaliador_A,Avaliador_C
24,"R o que tem um Arden aqui mano acho que é onde eu to mano eu to conseguindo ver você pera tem UOLO tem uma foice do Arden aqui velho vou pegar essas duas foices e vou te dar uma e ai você me ajuda a derrotar ele ta bom perfeito então mano me ajuda aqui como é que eu vou te ajudar velho eu sei la mano eu não consigo abrir isso aqui acho que isso deve dar pra ir por fora ah não acredito mano então vou ter que derrotar ele sozinho bom talvez você consegue debrar ele né pera ai pessoal ta na minha mão salvar o K.R e eu não confio em mim pra salvar K.R ou seja eu não vou ter mais amiga ele vai morrer ahahahahahahahahahahahahahaha ahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha meu Deus to brincando velho eu vou tentar derrotar o esse doido aqui mano eu vou começar jogando bolinha nele toma essa bolinha aqui mano olha você consegue empurrar ele mano beleza e ele fica ali arduo e agora eu vou atacar com o cofus toma e mais essa e mais e agora mano ele nem consegue perto de mim. Esse não é o Warden verdadeiro, velho. Ele não consegue me atacar igual a ele ataca de verdade. A gente tá dentro do Warden verdadeiro, né, KS? KS, se tu conseguir...",0.2019528746604919,0.4648244678974151,0.3332226872444153,NEU,0.6702824234962463,0.0123016964644193,0.0473484434187412,0.0048731118440628,0.0611174032092094,0.0551964044570922,0.0146673480048775,0.37751234,Kass e KR,Minecraft,O que acontece se você ENTRAR nos NOVOS MOBS do minecraft [aaYZZbOkrr0],,GZ,GZ,GZ,"🎬 Canal: Kass e KR | 🎥 Vídeo: O que acontece se você ENTRAR nos NOVOS MOBS do minecraft [aaYZZbOkrr0]
⏱️ Segmento/Index: 24
🤖 Consenso de IA: GZ (Detoxify: 0.67 | Perspective: 0.378)
──────────────────────────────────────────────────
Fala transcrita:
""R o que tem um Arden aqui mano acho que é onde eu to mano eu to conseguindo ver você pera tem UOLO tem uma foice do Arden aqui velho vou pegar essas duas foices e vou te dar uma e ai você me ajuda a derrotar ele ta bom perfeito então mano me ajuda aqui como é que eu vou te ajudar velho eu sei la mano eu não consigo abrir isso aqui acho que isso deve dar pra ir por fora ah não acredito mano então vou ter que derrotar ele sozinho bom talvez você consegue debrar ele né pera ai pessoal ta na minha mão salvar o K.R e eu não confio em mim pra salvar K.R ou seja eu não vou ter mais amiga ele vai morrer ahahahahahahahahahahahahahaha ahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha meu Deus to brincando velho eu vou tentar derrotar o esse doido aqui mano eu vou começar jogando bolinha nele toma essa bolinha aqui mano olha você consegue empurrar ele mano beleza e ele fica ali arduo e agora eu vou atacar com o cofus toma e mais essa e mais e agora mano ele nem consegue perto de mim. Esse não é o Warden verdadeiro, velho. Ele não consegue me atacar igual a ele ataca de verdade. A gente tá dentro do Warden verdadeiro, né, KS? KS, se tu conseguir...""",Avaliador_A,Avaliador_C
9,"Quem é aquele? Não sei, quem é aquela? Então Eu tenho que ligar pra polícia Ligar pra polícia, tem que matar esse bicho Não, ligar pra polícia, mãe Como assim matar? Porque se a gente não ligar pra polícia Como é que eles vão saber? Ai, dá pra correr, Ju Nossa, gente, aqui Andando devagar, daí fica tudo com mais Medo Aqui é pronto Eu espero que o bicho apareça na nossa frente E o impacto vai ser rápido A TV? Você não viu que apareceu aqui na TV? Apareceu um monstro na TV Ah, eu tô pegando as minhas lâmpadas Gente, a Ju tá perdendo, será que a gente tem que subir a escada? Ah, não tá bloqueado A gente tem que achar o telefone, mãe Ah, tá, o telefone Cadê o telefone? Abra essa porta, não Essa porta ainda não abre Ali o telefone, boa, boa, boa Quer ver que ele vai cortar a linha telefone? Ligar pra polícia Ai, meu Deus Alô, polícia?",0.5249048471450806,0.4041458964347839,0.0709493160247802,NEG,0.6695946455001831,0.002216475084424,0.0196542683988809,0.0006226481636986,0.0289798937737941,0.2563847005367279,0.0048747975379228,0.32557452,Julia MineGirl,Roblox,Roblox - A PIOR CASA PARA MORAR Welcome [BXaoXgjMWpU],,GZ,GZ,GZ,"🎬 Canal: Julia MineGirl | 🎥 Vídeo: Roblox - A PIOR CASA PARA MORAR Welcome [BXaoXgjMWpU]
⏱️ Segmento/Index: 9
🤖 Consenso de IA: GZ (Detoxify: 0.67 | Perspective: 0.326)
──────────────────────────────────────────────────
Fala transcrita:
""Quem é aquele? Não sei, quem é aquela? Então Eu tenho que ligar pra polícia Ligar pra polícia, tem que matar esse bicho Não, ligar pra polícia, mãe Como assim matar? Porque se a gente não ligar pra polícia Como é que eles vão saber? Ai, dá pra correr, Ju Nossa, gente, aqui Andando devagar, daí fica tudo com mais Medo Aqui é pronto Eu espero que o bicho apareça na nossa frente E o impacto vai ser rápido A TV? Você não viu que apareceu aqui na TV? Apareceu um monstro na TV Ah, eu tô pegando as minhas lâmpadas Gente, a Ju tá perdendo, será que a gente tem que subir a escada? Ah, não tá bloqueado A gente tem que achar o telefone, mãe Ah, tá, o telefone Cadê o telefone? Abra essa porta, não Essa porta ainda não abre Ali o telefone, boa, boa, boa Quer ver que ele vai cortar a linha telefone? Ligar pra polícia Ai, meu Deus Alô, polícia?""",Avaliador_A,Avaliador_C
6,"Ai meu Deus do céu, o cara, o que eu pego ele no colo, galera? Eu não vou pegar ele no colo de jeito nenhum! Calma aí! Essa porra é muito legal, galera! Eu vou pegar ele no colo, eu vou pegar ele no colo, eu vou pegar ele no colo, eu vou pegar ele no colo, galera, eu não vou pegar ele no colo de jeito nenhum, calma aí! Essa profissão de motorista de aplicativo é muito difícil! Já aproveitando, eu queria que você comentasse aí o que você quer ser quando você crescer! Qual é a profissão dos seus sonhos? Comenta aí! Vamos ver qual profissão que vai ter mais voto aí nos comentários! Calma aí, eu vou tentar descer por aqui, ó! Aê, aê, vou conseguir, é, consegui! Pode entrar aí no carro! Oi, tudo bom? Ué, é esse aqui que eu tô usando? Esse é o carro? É, não é um barco, né? Tá na terra, é o carro! Eu vou fazer o seguinte, eu vou esperar lá em cima, tá bom? Não, você tá descer caralho, você fez o que você quer aqui, mas você vai me esperar lá em... Eu não acredito, galera! Esse cara tá me fazendo de besta! Eu tô andando aqui, galera, e encontrei essa casinha no meio da água! Será que é aquela casinha que a gente precisa entregar essas comidas? E uma coisa que eu tô vendo, eu não vou poder usar essa motinha pra entregar não, eu vou ter que nadar! Ai meu Deus do céu, isso aqui não tava na parte do trabalho não, hein! Vou cobrar um extra!",0.0923683419823646,0.342221051454544,0.5654106736183167,POS,0.9338719248771667,0.0131808165460824,0.1788949519395828,0.003205340122804,0.0607976727187633,0.0384581498801708,0.1228129789233207,0.50789946,Kass e KR,Minecraft,Meu AMIGO NAMOROU uma VILLAGER por 24 horas no Minecraft [k778n_iTM-U],,T,T,T,"🎬 Canal: Kass e KR | 🎥 Vídeo: Meu AMIGO NAMOROU uma VILLAGER por 24 horas no Minecraft [k778n_iTM-U]
⏱️ Segmento/Index: 6
🤖 Consenso de IA: T (Detoxify: 0.934 | Perspective: 0.508)
──────────────────────────────────────────────────
Fala transcrita:
""Ai meu Deus do céu, o cara, o que eu pego ele no colo, galera? Eu não vou pegar ele no colo de jeito nenhum! Calma aí! Essa porra é muito legal, galera! Eu vou pegar ele no colo, eu vou pegar ele no colo, eu vou pegar ele no colo, eu vou pegar ele no colo, galera, eu não vou pegar ele no colo de jeito nenhum, calma aí! Essa profissão de motorista de aplicativo é muito difícil! Já aproveitando, eu queria que você comentasse aí o que você quer ser quando você crescer! Qual é a profissão dos seus sonhos? Comenta aí! Vamos ver qual profissão que vai ter mais voto aí nos comentários! Calma aí, eu vou tentar descer por aqui, ó! Aê, aê, vou conseguir, é, consegui! Pode entrar aí no carro! Oi, tudo bom? Ué, é esse aqui que eu tô usando? Esse é o carro? É, não é um barco, né? Tá na terra, é o carro! Eu vou fazer o seguinte, eu vou esperar lá em cima, tá bom? Não, você tá descer caralho, você fez o que você quer aqui, mas você vai me esperar lá em... Eu não acredito, galera! Esse cara tá me fazendo de besta! Eu tô andando aqui, galera, e encontrei essa casinha no meio da água! Será que é aquela casinha que a gente precisa entregar essas comidas? E uma coisa que eu tô vendo, eu não vou poder usar essa motinha pra entregar não, eu vou ter que nadar! Ai meu Deus do céu, isso aqui não tava na parte do trabalho não, hein! Vou cobrar um extra!""",Avaliador_A,Avaliador_C
17,"Meu Deus. Tá, eu vou, vamos lá. Cuidado com a farm, cuidado com a farm. Ah meu Deus, a gente agora tá com aquele troço. Tá vindo um monte de pílida. Maldição? Uhum. Meu Deus do céu. Eduardo, vem cá, vem cá. Galera, ali é a farm, né? Padrão a farm. Eu vim aqui pegar ferro que tava faltando, tá vendo? Eduardo, eu acho que a gente achou um banco de uarra, tá vendo? Eu acho que aquele ali tem uns blocos novos. Não é aquele negócio raro? Ai, sai. Eu acho que é isso aqui, Eduardo, que é o coração do negócio. Eu não lembro direito o nome. Eu posso estar falando besteira. É, olha, Eduardo. Que isso aí, nunca... Que faz aquele negócio do bagulho do negócio do negócio. Ahn? Eu acho que é isso aí mesmo, Eduardo. Olha, eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo, Eduardo. Olha. Deixa eu iluminar. Calcita. É calcita o nome? Calcita esse bloco branco. Ametista, mano. Isso aqui é ametista, exatamente, galera.",0.6410868763923645,0.2997046411037445,0.0592084340751171,NEG,0.5022578835487366,0.0033195000141859,0.2804375290870666,0.0064592133276164,0.0892436429858207,0.000909223977942,0.0028553553856909,0.27236435,Marcelodrv,Minecraft,FARM de GALINHA ASSADA 100 AUTOMÁTICA - NOSSO MUNDO 05 [VTrb6_IwIw0],,GZ,GZ,GZ,"🎬 Canal: Marcelodrv | 🎥 Vídeo: FARM de GALINHA ASSADA 100 AUTOMÁTICA - NOSSO MUNDO 05 [VTrb6_IwIw0]
⏱️ Segmento/Index: 17
🤖 Consenso de IA: GZ (Detoxify: 0.502 | Perspective: 0.272)
──────────────────────────────────────────────────
Fala transcrita:
""Meu Deus. Tá, eu vou, vamos lá. Cuidado com a farm, cuidado com a farm. Ah meu Deus, a gente agora tá com aquele troço. Tá vindo um monte de pílida. Maldição? Uhum. Meu Deus do céu. Eduardo, vem cá, vem cá. Galera, ali é a farm, né? Padrão a farm. Eu vim aqui pegar ferro que tava faltando, tá vendo? Eduardo, eu acho que a gente achou um banco de uarra, tá vendo? Eu acho que aquele ali tem uns blocos novos. Não é aquele negócio raro? Ai, sai. Eu acho que é isso aqui, Eduardo, que é o coração do negócio. Eu não lembro direito o nome. Eu posso estar falando besteira. É, olha, Eduardo. Que isso aí, nunca... Que faz aquele negócio do bagulho do negócio do negócio. Ahn? Eu acho que é isso aí mesmo, Eduardo. Olha, eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo. Eu acho que é isso aí mesmo, Eduardo. Olha. Deixa eu iluminar. Calcita. É calcita o nome? Calcita esse bloco branco. Ametista, mano. Isso aqui é ametista, exatamente, galera.""",Avaliador_A,Avaliador_C
